area,age_of_respondent,chronic_illness,nhif_usage,nssf_usage,most_important_life_goal,income_source,avg_mnth_income,hse_land_loan,securities_use,nearest_financial_prod,land_house_ownership,total_exp_per_month,electronic_device,motorvehicle_ownership,livestock_ownership,insurance,Clusters
Urban,16,No,No,No,Education,Family,8000.0,No,No,MMoney,No,7000,No,No,False,No,1
Urban,27,No,Yes,Yes,Food,Family,2000.0,No,No,MMoney,No,20000,Yes,Yes,False,Yes,0
Rural,22,No,No,No,Food,Casual_work,9872.0,No,No,MMoney,No,10000,No,Yes,False,No,1
Rural,29,No,No,No,Career,Family,9872.0,No,Yes,MMoney,No,20000,No,No,False,No,0
Urban,32,No,No,No,Career,Casual_work,8000.0,No,No,MMoney,No,10000,No,No,False,No,1
Rural,35,No,No,No,Career,Casual_work,4000.0,No,No,MMoney,Yes,5000,No,No,True,No,1
Urban,31,No,No,No,Business,Business,10000.0,No,No,MMoney,No,20000,Yes,Yes,False,No,0
Rural,67,No,No,No,Food,Casual_work,1000.0,No,No,MMoney,Yes,1000,No,No,False,No,1
Rural,35,No,No,No,Food,Casual_work,3000.0,No,No,MMoney,Yes,3000,No,No,True,No,1
Urban,42,No,Yes,No,Health,Business,15000.0,No,Yes,MMoney,No,8000,Yes,Yes,False,Yes,1
Urban,32,No,No,No,Health,Family,300.0,No,No,MMoney,No,6000,No,No,False,No,1
Urban,38,No,Yes,No,Food,Casual_work,9872.0,No,No,MMoney,No,5000,No,No,False,Yes,1
Urban,24,No,Yes,No,Food,Family,1000.0,No,No,MMoney,Yes,15000,No,No,False,Yes,1
Rural,30,No,No,No,Health,Agriculture,5000.0,No,No,MMoney,No,4000,No,No,True,No,1
Rural,58,No,No,No,Business,Agriculture,50000.0,No,Yes,MMoney,Yes,10000,No,No,True,Yes,0
Rural,47,No,Yes,No,Education,Agriculture,7000.0,No,No,MMoney,Yes,15000,No,Yes,True,Yes,1
Rural,17,No,No,No,Food,Casual_work,2000.0,No,No,MMoney,No,5000,No,No,True,No,1
Urban,21,No,Yes,Yes,Health,Casual_work,9000.0,No,No,MMoney,No,9000,No,No,False,Yes,1
Urban,66,No,No,No,Education,Family,9872.0,No,No,Bank,No,2000,No,No,False,No,1
Rural,38,No,No,No,Food,Casual_work,9872.0,No,No,MMoney,No,16000,No,No,False,No,1
Rural,25,No,No,No,Food,Agriculture,1000.0,No,No,MMoney,Yes,8200,No,No,False,No,1
Rural,32,No,No,No,Health,Casual_work,5000.0,No,No,MMoney,Yes,2000,No,No,False,No,1
Urban,32,No,No,No,Education,Family,9000.0,No,No,MMoney,No,9000,Yes,No,False,No,1
Urban,68,No,No,No,Business,Casual_work,2000.0,No,No,MMoney,Yes,9000,No,No,False,No,1
Rural,38,No,No,No,Food,Casual_work,4000.0,No,No,MMoney,Yes,6000,No,No,False,No,1
Rural,26,No,No,No,Education,Casual_work,5000.0,No,No,MMoney,Yes,4000,No,Yes,True,No,1
Urban,44,No,Yes,Yes,Education,Employment,65000.0,Yes,No,MMoney,Yes,30000,Yes,Yes,False,Yes,0
Urban,33,No,Yes,Yes,Business,Business,4500.0,Yes,No,MMoney,No,5000,No,No,False,Yes,1
Rural,42,No,Yes,No,Health,Casual_work,10000.0,No,No,Bank,No,10000,No,No,False,Yes,1
Rural,23,No,No,No,Food,Employment,7000.0,No,No,MMoney,No,6000,Yes,No,False,No,1
Urban,16,No,No,No,Education,Family,10000.0,No,No,MMoney,No,10000,No,No,False,No,1
Rural,62,No,No,No,Food,Casual_work,5000.0,No,No,MMoney,Yes,5000,No,No,True,No,1
Rural,37,No,Yes,No,Health,Agriculture,2000.0,No,No,MMoney,Yes,9000,No,No,False,Yes,1
Rural,78,Yes,No,No,Food,Family,5000.0,No,No,MMoney,Yes,8000,No,No,False,No,1
Rural,23,No,No,No,Education,Agriculture,5000.0,No,Yes,MMoney,Yes,2000,Yes,No,True,Yes,1
Urban,41,No,No,No,Food,Casual_work,15000.0,No,No,MMoney,Yes,8000,Yes,No,False,No,1
Urban,62,No,No,No,Food,Casual_work,3000.0,No,No,MMoney,Yes,3000,No,No,False,No,1
Rural,36,No,No,No,Health,Employment,1000.0,No,No,MMoney,No,10000,No,No,False,No,1
Urban,24,No,No,No,Education,Business,5000.0,No,No,MMoney,No,8000,Yes,No,False,Yes,1
Rural,35,No,No,No,Food,Business,1000.0,No,No,MMoney,No,12000,No,No,False,No,1
Urban,21,No,No,No,Education,Family,9872.0,No,No,MMoney,No,16000,Yes,No,False,No,0
Urban,48,No,No,No,Food,Casual_work,6000.0,No,No,MMoney,No,10000,No,Yes,False,Yes,1
Urban,46,No,No,No,Education,Business,7000.0,No,No,MMoney,Yes,10000,No,No,False,No,1
Rural,41,No,Yes,Yes,Health,Agriculture,70000.0,Yes,No,MMoney,Yes,10000,Yes,No,True,Yes,0
Rural,28,No,No,No,Education,Agriculture,5000.0,No,No,MMoney,No,5000,No,No,True,Yes,1
Rural,23,No,Yes,No,Food,Business,5000.0,No,No,MMoney,No,8000,Yes,No,False,Yes,1
Rural,52,No,Yes,Yes,Business,Employment,20000.0,No,No,MMoney,Yes,10000,No,Yes,False,Yes,1
Rural,32,No,No,No,Food,Casual_work,10000.0,No,No,MMoney,Yes,9000,No,No,False,No,1
Rural,43,No,No,No,Business,Agriculture,4000.0,No,No,MMoney,Yes,5000,Yes,No,False,Yes,1
Urban,40,No,Yes,No,Health,Business,15000.0,No,No,MMoney,No,15000,No,No,False,Yes,0
Urban,56,No,No,No,Business,Agriculture,1000.0,No,No,MMoney,No,5000,No,No,False,No,1
Rural,70,Yes,No,No,Health,Agriculture,200.0,No,No,MMoney,Yes,2000,No,No,True,No,1
Urban,26,No,No,No,Career,Business,2000.0,No,No,MMoney,No,13000,No,No,False,No,1
Urban,42,No,No,No,Business,Family,9872.0,No,No,MMoney,Yes,50000,Yes,No,False,Yes,0
Rural,17,No,No,No,Education,Family,3800.0,No,No,MMoney,Yes,10000,No,No,True,No,1
Rural,30,No,No,No,Health,Agriculture,4000.0,No,No,MMoney,Yes,16000,No,Yes,True,Yes,1
Urban,28,No,Yes,Yes,Business,Family,3000.0,No,No,MMoney,Yes,15000,Yes,Yes,False,Yes,1
Urban,28,No,Yes,No,Food,Family,15000.0,No,No,MMoney,No,30000,Yes,No,False,Yes,0
Urban,25,No,Yes,No,Food,Family,2000.0,No,No,MMoney,No,10000,Yes,No,False,Yes,1
Urban,34,No,No,No,Health,Casual_work,10000.0,No,No,MMoney,Yes,10000,No,No,False,Yes,1
Urban,31,No,No,No,Home,Business,15000.0,No,No,MMoney,No,20000,Yes,Yes,False,Yes,0
Urban,22,No,Yes,No,Food,Casual_work,22000.0,No,No,MMoney,No,20000,No,No,False,Yes,0
Rural,70,Yes,No,No,Health,Agriculture,3000.0,No,No,MMoney,Yes,5000,No,Yes,False,Yes,1
Rural,44,No,No,No,Education,Agriculture,9872.0,No,No,MMoney,Yes,20000,Yes,No,False,Yes,0
Rural,26,No,No,No,Education,Agriculture,10000.0,No,No,MMoney,Yes,12000,No,No,False,No,1
Urban,30,No,Yes,Yes,Food,Casual_work,9000.0,No,No,MMoney,No,7000,Yes,No,False,Yes,1
Rural,26,No,No,No,Education,Family,2000.0,No,No,MMoney,No,5000,Yes,No,False,Yes,1
Urban,36,No,No,No,Career,Casual_work,9872.0,No,No,MMoney,No,15000,Yes,No,False,No,0
Rural,61,No,No,No,Food,Family,9872.0,No,No,MMoney,Yes,6000,No,No,False,No,1
Rural,26,No,No,No,Education,Casual_work,3000.0,No,No,MMoney,No,6000,No,No,True,No,1
Urban,34,No,No,Yes,Career,Business,2000.0,No,No,MMoney,Yes,13000,No,No,False,Yes,1
Urban,60,Yes,Yes,No,Health,Family,9872.0,Yes,No,MMoney,Yes,10000,Yes,No,False,Yes,1
Rural,65,Yes,No,No,Food,Casual_work,9872.0,No,No,MMoney,Yes,2000,No,No,False,No,1
Rural,45,No,No,No,Business,Business,100000.0,No,No,MMoney,Yes,18000,Yes,No,False,No,0
Urban,76,No,Yes,Yes,Health,Employment,50000.0,No,No,MMoney,No,30000,Yes,No,False,Yes,0
Rural,19,No,No,No,Education,Family,10000.0,No,No,MMoney,Yes,5000,Yes,No,False,No,1
Urban,30,No,No,Yes,Food,Employment,44000.0,Yes,No,MMoney,Yes,35000,Yes,No,False,Yes,0
Urban,30,No,No,No,Assets,Casual_work,20000.0,No,No,Bank,No,11000,No,No,False,No,0
Urban,76,Yes,Yes,Yes,Business,Family,15000.0,No,No,MMoney,Yes,7000,Yes,No,False,Yes,1
Urban,23,No,No,No,Education,Casual_work,20000.0,No,No,MMoney,No,10000,No,No,False,No,0
Urban,23,No,Yes,No,Career,Casual_work,4000.0,No,No,MMoney,No,6000,No,No,False,Yes,1
Urban,48,No,Yes,No,Home,Casual_work,20000.0,No,No,MMoney,No,10000,No,No,False,Yes,0
Rural,23,No,No,No,Food,Family,5000.0,No,No,MMoney,No,6000,Yes,No,False,No,1
Rural,23,No,No,No,Business,Casual_work,4000.0,No,No,MMoney,Yes,1050,No,Yes,True,Yes,1
Urban,32,Yes,Yes,No,Health,Family,500.0,No,Yes,Bank,No,5000,Yes,No,False,Yes,1
Urban,23,No,Yes,Yes,Food,Employment,18000.0,No,No,MMoney,No,15500,Yes,No,False,Yes,0
Rural,18,No,No,No,Education,Family,200.0,No,No,MMoney,No,20000,No,No,False,No,1
Urban,23,No,Yes,Yes,Food,Employment,10000.0,Yes,No,MMoney,No,7000,Yes,No,False,Yes,1
Urban,43,No,Yes,No,Food,Casual_work,10000.0,No,No,MMoney,Yes,5000,Yes,No,False,Yes,1
Urban,64,Yes,No,No,Health,Agriculture,9872.0,No,No,MMoney,Yes,5000,No,No,False,No,1
Rural,54,No,No,No,Business,Agriculture,15000.0,No,No,MMoney,Yes,15000,No,No,False,Yes,1
Rural,18,No,No,No,Education,Family,2000.0,No,No,MMoney,No,8000,No,No,False,No,1
Urban,42,No,Yes,Yes,Health,Employment,28000.0,No,No,MMoney,No,25000,Yes,Yes,False,Yes,0
Rural,31,No,No,No,Food,Casual_work,1500.0,No,No,MMoney,No,10000,No,No,True,No,1
Urban,51,Yes,Yes,No,Food,Agriculture,20000.0,No,No,MMoney,No,15000,No,No,False,Yes,0
Urban,30,No,Yes,Yes,Business,Business,9872.0,Yes,No,MMoney,No,20000,No,No,False,Yes,0
Urban,49,No,No,No,Business,Casual_work,25000.0,No,No,MMoney,No,6000,No,No,False,Yes,0
Urban,28,No,No,No,Career,Family,9872.0,No,No,MMoney,No,15000,No,No,False,No,0
Urban,19,No,Yes,No,Education,Casual_work,25000.0,No,No,MMoney,Yes,14000,No,No,False,Yes,0
Rural,64,No,Yes,Yes,Food,Renting,3000.0,Yes,Yes,MMoney,Yes,20000,No,No,False,Yes,1
Rural,79,No,No,No,Health,Agriculture,2000.0,No,No,MMoney,Yes,2000,No,No,True,No,1
Urban,35,No,Yes,No,Education,Casual_work,12000.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Rural,20,No,No,No,Food,Casual_work,12000.0,No,No,MMoney,Yes,3000,No,No,False,No,1
Urban,40,No,No,No,Food,Casual_work,5000.0,No,No,MMoney,No,9000,No,No,False,No,1
Urban,32,No,No,No,Career,Casual_work,9872.0,No,No,MMoney,No,6500,No,No,False,Yes,1
Urban,31,No,No,No,Food,Casual_work,9872.0,No,No,MMoney,No,15000,Yes,No,False,No,0
Urban,39,No,No,No,Education,Business,20000.0,No,No,MMoney,No,25000,No,No,False,No,0
Rural,30,No,No,No,Food,Casual_work,20000.0,No,No,MMoney,No,10000,No,No,False,No,1
Urban,39,No,No,No,Business,Business,10000.0,No,No,MMoney,No,5000,No,No,False,Yes,1
Rural,45,No,Yes,No,Education,Agriculture,5000.0,No,No,MMoney,No,3000,Yes,Yes,True,Yes,1
Urban,37,No,No,No,Career,Family,9872.0,No,No,MMoney,No,7500,No,No,False,No,1
Urban,43,No,Yes,Yes,Food,Casual_work,6000.0,No,No,MMoney,Yes,10000,No,No,False,Yes,1
Rural,45,No,No,No,Health,Agriculture,10000.0,No,No,MMoney,Yes,4000,No,No,True,No,1
Rural,49,No,No,No,Health,Employment,12000.0,No,No,MMoney,Yes,10000,No,No,False,No,1
Urban,27,No,No,No,Business,Family,12000.0,No,No,MMoney,No,30000,No,No,False,Yes,0
Urban,42,No,No,No,Education,Casual_work,16000.0,No,No,MMoney,No,16000,No,No,False,No,0
Rural,40,No,Yes,No,Food,Agriculture,30000.0,No,No,MMoney,Yes,30000,No,No,False,Yes,0
Rural,32,No,No,No,Education,Agriculture,9872.0,No,No,MMoney,No,18000,No,Yes,True,No,0
Urban,30,No,No,No,Business,Business,9872.0,Yes,No,MMoney,No,18000,Yes,No,False,Yes,0
Urban,30,No,No,No,Food,Casual_work,5000.0,No,No,MMoney,No,18000,Yes,No,False,Yes,0
Rural,62,Yes,Yes,No,Education,Agriculture,9872.0,No,No,MMoney,Yes,12000,Yes,No,False,Yes,1
Urban,38,No,Yes,No,Food,Agriculture,10000.0,Yes,No,MMoney,No,20000,No,No,False,Yes,0
Urban,70,Yes,Yes,Yes,Health,Renting,10000.0,No,No,MMoney,Yes,20000,Yes,Yes,False,Yes,0
Rural,35,Yes,No,No,Food,Casual_work,2000.0,No,No,MMoney,Yes,2000,No,No,False,No,1
Urban,48,Yes,Yes,Yes,Business,Employment,16000.0,No,No,MMoney,No,12000,No,Yes,False,Yes,0
Urban,39,No,Yes,Yes,Food,Casual_work,7200.0,No,No,MMoney,No,6000,No,No,False,Yes,1
Urban,29,No,Yes,Yes,Business,Business,70000.0,Yes,No,MMoney,No,30000,Yes,No,False,Yes,0
Rural,55,No,No,No,Health,Casual_work,15000.0,No,No,MMoney,Yes,1600,No,No,True,Yes,1
Urban,98,No,No,No,Health,Family,5000.0,No,No,MMoney,Yes,4000,No,No,False,No,1
Urban,29,No,Yes,No,Business,Business,6000.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Urban,26,Yes,No,No,Education,Agriculture,15000.0,No,No,MMoney,Yes,15000,No,Yes,False,No,0
Rural,32,No,No,No,Food,Business,8000.0,No,No,MMoney,Yes,5000,No,No,False,Yes,1
Urban,22,No,No,No,Education,Casual_work,4500.0,No,No,MMoney,No,6000,Yes,No,False,No,1
Rural,38,No,Yes,No,Education,Family,8000.0,No,No,MMoney,Yes,18000,No,Yes,False,Yes,1
Urban,32,No,No,No,Food,Casual_work,12000.0,No,Yes,MMoney,No,8000,No,No,False,Yes,1
Urban,42,No,No,No,Career,Casual_work,10000.0,No,Yes,MMoney,No,8000,No,No,False,No,1
Rural,59,Yes,Yes,Yes,Education,Employment,30000.0,Yes,No,MMoney,Yes,30000,Yes,No,False,Yes,0
Urban,32,No,No,No,Career,Casual_work,5000.0,No,No,MMoney,No,5000,No,No,False,No,1
Urban,35,No,Yes,Yes,Food,Employment,20000.0,Yes,Yes,MMoney,No,10000,Yes,No,False,Yes,0
Rural,24,No,No,No,Food,Employment,7000.0,No,No,MMoney,Yes,7000,No,No,False,No,1
Rural,27,No,No,No,Food,Casual_work,6000.0,No,No,MMoney,No,5000,No,No,False,No,1
Urban,35,No,Yes,No,Food,Casual_work,6000.0,No,No,MMoney,No,6000,Yes,No,False,Yes,1
Urban,21,No,No,No,Education,Family,3000.0,No,No,MMoney,No,4000,Yes,No,False,No,1
Rural,25,No,Yes,No,Food,Business,15000.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Rural,37,No,Yes,Yes,Career,Employment,7000.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Urban,19,No,No,No,Business,Family,1000.0,No,No,MMoney,No,5000,No,No,False,No,1
Urban,24,No,No,No,Food,Casual_work,20000.0,No,No,MMoney,No,8000,Yes,Yes,False,No,0
Rural,52,No,No,No,Food,Family,21000.0,No,No,MMoney,Yes,12000,No,No,False,Yes,0
Urban,30,No,No,No,Education,Family,5000.0,No,No,MMoney,No,12000,No,No,False,No,1
Urban,40,No,No,No,Home,Business,9872.0,No,No,MMoney,No,7000,No,No,False,Yes,1
Rural,19,No,No,No,Food,Employment,2000.0,No,No,MMoney,Yes,3000,No,No,True,No,1
Urban,24,No,No,No,Food,Casual_work,8000.0,No,No,MMoney,Yes,5000,No,No,True,Yes,1
Urban,45,No,No,No,Career,Casual_work,8500.0,No,No,MMoney,Yes,3000,Yes,No,False,No,1
Rural,27,No,No,No,Business,Business,15000.0,Yes,No,MMoney,No,10000,No,No,False,Yes,1
Urban,47,No,No,No,Food,Casual_work,4000.0,No,No,MMoney,No,3000,No,No,False,No,1
Rural,45,No,No,No,Health,Casual_work,10000.0,No,No,MMoney,Yes,6000,No,No,False,No,1
Rural,80,No,No,No,Food,Family,1000.0,No,No,MMoney,Yes,3000,No,No,True,Yes,1
Rural,53,No,No,No,Food,Casual_work,9872.0,No,No,MMoney,Yes,7000,No,No,False,Yes,1
Urban,18,No,Yes,Yes,Education,Employment,10000.0,No,No,MMoney,No,15000,Yes,Yes,False,Yes,0
Rural,64,No,No,No,Health,Agriculture,5000.0,No,No,MMoney,Yes,6000,No,No,True,Yes,1
Rural,17,No,No,No,Education,Family,500.0,No,No,MMoney,Yes,15000,Yes,No,False,No,1
Rural,23,No,No,No,Business,Family,5000.0,No,No,Bank,No,5000,No,No,False,No,1
Rural,61,Yes,Yes,Yes,Food,Family,1500.0,No,No,MMoney,Yes,2500,No,No,False,Yes,1
Urban,35,No,No,No,Food,Family,2000.0,No,No,MMoney,No,10000,Yes,No,False,No,1
Rural,22,No,No,No,Food,Casual_work,6000.0,No,No,MMoney,Yes,6500,No,No,False,No,1
Rural,49,No,No,No,Food,Casual_work,1000.0,No,No,MMoney,Yes,8000,No,Yes,False,Yes,1
Urban,28,No,No,No,Business,Casual_work,9872.0,No,No,MMoney,Yes,15000,Yes,No,False,Yes,0
Rural,24,No,No,No,Food,Casual_work,7000.0,No,No,MMoney,No,7000,No,No,False,No,1
Urban,52,No,No,No,Education,Casual_work,6000.0,No,No,MMoney,No,12000,No,No,False,No,1
Urban,42,No,Yes,Yes,Food,Casual_work,11000.0,Yes,No,MMoney,Yes,6500,No,No,False,Yes,1
Urban,34,No,No,No,Food,Family,8000.0,No,No,MMoney,No,5000,No,No,False,No,1
Rural,41,No,Yes,Yes,Education,Casual_work,6000.0,No,No,MMoney,Yes,7500,No,No,False,Yes,1
Rural,36,No,No,No,Health,Casual_work,3000.0,No,No,MMoney,No,10000,No,No,False,No,1
Urban,35,No,No,No,Health,Casual_work,15000.0,No,No,MMoney,No,12000,No,No,False,No,0
Rural,61,No,No,No,Food,Casual_work,20000.0,No,No,MMoney,No,13000,No,No,False,No,0
Urban,35,No,No,No,Food,Employment,30000.0,No,No,MMoney,No,20000,No,No,False,No,0
Rural,49,No,No,No,Business,Agriculture,6700.0,No,No,MMoney,Yes,9000,No,No,False,No,1
Urban,40,No,No,No,Food,Casual_work,15000.0,No,No,MMoney,No,10000,No,No,False,No,0
Urban,42,No,No,No,Business,Business,9872.0,Yes,No,MMoney,No,20000,Yes,No,False,No,0
Rural,21,No,No,No,Career,Agriculture,10000.0,No,No,MMoney,Yes,10000,No,No,False,No,1
Rural,32,No,No,No,Food,Casual_work,4000.0,No,No,MMoney,Yes,3000,No,No,True,No,1
Urban,65,Yes,No,No,Business,Agriculture,9872.0,No,No,MMoney,Yes,12000,Yes,No,False,Yes,1
Rural,27,No,Yes,Yes,Food,Casual_work,20000.0,No,No,MMoney,No,10000,Yes,No,False,Yes,1
Rural,34,Yes,Yes,No,Education,Casual_work,10000.0,No,No,MMoney,No,50000,Yes,Yes,False,Yes,0
Urban,18,No,No,No,Business,Family,2800.0,No,No,MMoney,No,5000,No,No,False,No,1
Urban,23,No,No,No,Health,Casual_work,7000.0,No,No,MMoney,No,7000,No,No,False,No,1
Urban,29,No,No,No,Education,Casual_work,12000.0,No,No,MMoney,No,10000,No,No,False,No,1
Rural,20,No,No,No,Career,Casual_work,5000.0,No,No,MMoney,Yes,3000,No,No,False,No,1
Rural,26,Yes,No,No,Food,Agriculture,3000.0,No,No,MMoney,No,5000,Yes,Yes,True,No,1
Urban,26,No,Yes,Yes,Career,Casual_work,10000.0,Yes,No,MMoney,No,6000,Yes,No,False,Yes,1
Rural,31,No,Yes,Yes,Health,Employment,30000.0,No,No,MMoney,Yes,7000,No,No,True,Yes,0
Rural,24,No,No,No,Food,Casual_work,4000.0,No,No,MMoney,No,12000,No,No,True,Yes,1
Rural,21,No,No,No,Food,Casual_work,2000.0,No,No,MMoney,No,2000,No,No,False,No,1
Urban,17,No,Yes,No,Food,Casual_work,10000.0,No,No,MMoney,No,15000,Yes,No,False,Yes,0
