area,age_of_respondent,chronic_illness,nhif_usage,nssf_usage,most_important_life_goal,income_source,avg_mnth_income,hse_land_loan,securities_use,nearest_financial_prod,land_house_ownership,total_exp_per_month,electronic_device,motorvehicle_ownership,livestock_ownership,insurance,Clusters
Rural,83,No,No,No,Food,Agriculture,5000.0,No,No,MMoney,Yes,6000,No,No,False,No,1
Rural,30,No,No,No,Food,Casual_work,12000.0,No,No,MMoney,No,10000,No,Yes,False,No,1
Rural,23,No,No,No,Career,Agriculture,4000.0,No,No,MMoney,No,16000,No,No,True,No,1
Rural,25,No,No,No,Business,Casual_work,600.0,No,No,MMoney,No,6000,No,No,False,No,1
Rural,17,No,Yes,No,Health,Agriculture,1500.0,No,No,MMoney,Yes,6000,No,No,False,Yes,1
Urban,41,No,No,No,Education,Business,10000.0,No,No,MMoney,No,10000,Yes,No,False,No,1
Rural,70,No,No,No,Health,Family,1000.0,No,No,MMoney,Yes,2000,No,No,True,No,1
Urban,49,No,No,No,Education,Casual_work,6000.0,No,No,MMoney,Yes,6000,No,No,False,No,1
Urban,40,Yes,No,No,Health,Business,9872.0,No,No,MMoney,No,20000,Yes,No,False,No,0
Rural,23,No,No,No,Education,Family,4500.0,No,No,MMoney,No,4000,Yes,No,False,No,1
Rural,28,No,No,No,Food,Casual_work,9872.0,No,No,MMoney,Yes,6000,No,No,False,No,1
Rural,42,No,No,No,Food,Agriculture,9872.0,No,No,MMoney,Yes,6000,No,No,True,No,1
Urban,37,No,No,No,Food,Business,4000.0,No,No,MMoney,No,8000,Yes,No,False,Yes,1
Rural,16,No,No,No,Health,Family,2000.0,No,No,MMoney,Yes,2000,No,No,True,No,1
Rural,17,No,No,No,Education,Family,1500.0,No,No,MMoney,No,7500,No,No,True,No,1
Rural,21,No,No,No,Education,Agriculture,12000.0,No,No,MMoney,Yes,6000,No,No,False,No,1
Rural,33,No,No,No,Health,Agriculture,5000.0,No,No,MMoney,No,5000,No,No,False,Yes,1
Rural,41,No,No,No,Food,Casual_work,4000.0,No,No,MMoney,Yes,3000,No,No,False,No,1
Rural,98,Yes,Yes,Yes,Food,Family,3000.0,No,No,MMoney,Yes,5000,No,No,False,Yes,1
Urban,24,No,No,No,Food,Business,6000.0,No,No,MMoney,No,6000,Yes,Yes,False,Yes,1
Urban,40,No,Yes,Yes,Food,Casual_work,3000.0,No,No,MMoney,No,5000,Yes,No,False,Yes,1
Rural,21,No,No,No,Career,Casual_work,4000.0,No,No,MMoney,No,6000,No,No,True,Yes,1
Rural,21,No,No,No,Education,Casual_work,9872.0,No,No,MMoney,No,16000,Yes,Yes,True,No,1
Urban,32,No,Yes,Yes,Food,Casual_work,9000.0,No,Yes,MMoney,No,20000,Yes,Yes,False,Yes,0
Rural,22,No,Yes,No,Health,Casual_work,6000.0,No,No,MMoney,Yes,12000,No,Yes,True,Yes,1
Rural,78,No,No,No,Food,Family,2000.0,No,No,MMoney,Yes,2000,No,No,True,No,1
Rural,26,No,Yes,No,Career,Family,18000.0,No,No,MMoney,No,17000,No,Yes,False,Yes,0
Rural,68,No,Yes,No,Food,Agriculture,8000.0,No,No,MMoney,Yes,1000,No,No,True,Yes,1
Urban,21,No,Yes,No,Food,Family,10000.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Urban,40,No,Yes,No,Food,Casual_work,14000.0,No,No,MMoney,No,12000,No,No,False,Yes,0
Rural,36,No,Yes,No,Career,Employment,12000.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Urban,33,No,Yes,Yes,Health,Family,9872.0,No,No,MMoney,Yes,20000,Yes,Yes,False,Yes,0
Rural,26,No,Yes,Yes,Food,Employment,12000.0,No,No,MMoney,Yes,8000,No,No,False,Yes,1
Urban,24,No,No,No,Education,Business,3000.0,No,No,MMoney,No,7000,Yes,No,False,No,1
Urban,22,No,No,No,Home,Casual_work,9000.0,No,No,MMoney,No,30000,Yes,No,False,No,0
Urban,61,Yes,No,No,Food,Family,5000.0,No,No,MMoney,Yes,30000,No,Yes,False,Yes,0
Urban,34,No,No,No,Education,Family,4000.0,No,No,MMoney,Yes,8000,No,No,False,No,1
Urban,33,No,Yes,No,Food,Family,5000.0,No,No,MMoney,Yes,20000,Yes,No,False,Yes,0
Rural,58,No,Yes,No,Health,Business,20000.0,Yes,No,MMoney,Yes,16000,Yes,Yes,False,Yes,0
Urban,41,No,No,No,Food,Casual_work,10000.0,No,No,MMoney,No,10000,Yes,No,False,No,1
Urban,61,No,Yes,Yes,Health,Employment,25000.0,No,No,MMoney,Yes,10000,No,No,False,Yes,0
Rural,30,No,Yes,No,Food,Casual_work,9000.0,No,No,MMoney,No,6000,No,No,True,Yes,1
Rural,19,No,No,No,Career,Casual_work,2000.0,No,No,MMoney,No,20000,No,No,True,No,1
Urban,57,No,Yes,No,Food,Business,15000.0,No,No,Bank,No,20000,No,No,False,Yes,0
Rural,28,No,No,No,Food,Casual_work,15000.0,No,No,MMoney,No,7000,No,No,False,No,1
Rural,29,No,Yes,No,Education,Agriculture,10000.0,No,No,MMoney,No,15000,No,No,False,Yes,1
Rural,56,Yes,No,No,Health,Agriculture,5000.0,No,No,MMoney,Yes,5000,No,No,False,Yes,1
Rural,44,No,Yes,Yes,Education,Casual_work,10000.0,No,No,MMoney,Yes,18000,Yes,No,True,Yes,1
Urban,16,No,No,No,Education,Family,9872.0,No,No,MMoney,No,16000,Yes,No,False,No,0
Urban,23,No,No,No,Food,Family,3000.0,No,No,MMoney,No,10000,Yes,No,False,No,1
Rural,60,Yes,No,No,Food,Agriculture,9872.0,No,No,MMoney,Yes,5000,No,No,False,Yes,1
Rural,51,No,No,No,Food,Casual_work,14000.0,No,Yes,MMoney,No,12000,No,No,False,Yes,1
Urban,35,No,No,No,Food,Business,5000.0,No,No,MMoney,Yes,10000,Yes,No,False,Yes,1
Urban,23,No,No,No,Food,Family,500.0,No,No,MMoney,No,500,No,No,False,No,1
Urban,60,No,No,Yes,Food,Business,9872.0,Yes,No,MMoney,Yes,13000,No,Yes,False,Yes,1
Rural,47,Yes,Yes,No,Education,Employment,5000.0,No,No,MMoney,No,12000,No,No,False,Yes,1
Rural,30,No,Yes,Yes,Food,Employment,8000.0,No,No,MMoney,Yes,15000,Yes,No,True,Yes,1
Rural,34,No,No,No,Education,Casual_work,20000.0,No,No,MMoney,Yes,20000,No,No,True,No,0
Rural,45,No,Yes,No,Education,Agriculture,9872.0,No,No,MMoney,No,15000,No,Yes,True,Yes,1
Rural,48,No,No,No,Education,Agriculture,15000.0,No,No,MMoney,Yes,10000,No,Yes,False,No,1
Urban,30,No,No,No,Education,Family,9872.0,No,No,MMoney,No,11500,No,No,False,No,1
Urban,16,No,No,No,Education,Family,9872.0,No,No,MMoney,No,7000,No,No,False,No,1
Rural,25,No,No,No,Food,Casual_work,500.0,No,No,MMoney,No,5000,No,No,False,Yes,1
Rural,82,No,No,No,Food,Aid,3000.0,No,No,MMoney,Yes,3000,No,No,False,No,1
Rural,31,No,Yes,No,Health,Casual_work,10000.0,No,No,MMoney,Yes,18000,Yes,No,False,Yes,0
Urban,27,No,No,No,Career,Casual_work,1000.0,No,No,MMoney,No,8000,No,No,False,No,1
Urban,43,No,No,No,Health,Employment,15000.0,No,No,MMoney,No,15000,No,No,False,Yes,0
Rural,59,Yes,No,No,Education,Agriculture,10000.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Urban,29,No,No,No,Business,Business,20000.0,No,No,Bank,No,15000,Yes,No,False,No,0
Urban,36,No,Yes,No,Education,Casual_work,10000.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Urban,19,No,No,No,Food,Family,8000.0,No,No,MMoney,No,8000,Yes,Yes,False,No,1
Urban,22,No,No,No,Career,Employment,10000.0,No,No,MMoney,Yes,12000,Yes,No,False,No,1
Urban,32,No,Yes,Yes,Food,Family,10000.0,No,No,MMoney,No,20000,Yes,No,False,Yes,0
Rural,45,No,No,No,Health,Employment,2000.0,No,No,MMoney,Yes,2000,No,No,False,Yes,1
Rural,30,No,Yes,No,Food,Agriculture,4000.0,No,No,Bank,No,20000,Yes,No,True,Yes,1
Rural,26,No,No,No,Business,Agriculture,9600.0,Yes,No,MMoney,Yes,12000,No,Yes,False,Yes,1
Urban,35,No,Yes,Yes,Food,Family,1500.0,No,No,MMoney,No,30000,No,No,False,Yes,0
Urban,29,No,No,No,Health,Family,20000.0,No,No,MMoney,No,25000,Yes,Yes,False,No,0
Rural,48,No,Yes,No,Food,Casual_work,3000.0,No,No,MMoney,Yes,11000,No,No,False,Yes,1
Urban,84,Yes,No,No,Food,Family,8000.0,No,No,MMoney,Yes,900,No,No,False,No,1
Rural,45,No,No,No,Home,Agriculture,9872.0,No,No,MMoney,Yes,12000,No,No,False,No,1
Rural,23,No,No,No,Education,Family,2000.0,No,No,MMoney,Yes,20000,No,Yes,False,No,1
Rural,38,No,Yes,No,Food,Employment,5000.0,No,No,MMoney,Yes,5000,No,No,True,Yes,1
Rural,32,No,No,No,Food,Casual_work,3000.0,No,No,MMoney,Yes,6000,No,No,False,No,1
Urban,29,No,No,No,Food,Casual_work,2500.0,No,No,MMoney,No,5000,No,No,False,No,1
Urban,24,No,No,No,Career,Agriculture,5000.0,No,No,MMoney,Yes,15000,Yes,Yes,False,No,1
Rural,60,No,No,No,Food,Casual_work,10000.0,No,No,MMoney,Yes,20000,Yes,No,False,No,0
Urban,67,No,No,No,Business,Pension,15000.0,Yes,No,MMoney,Yes,15000,Yes,No,True,Yes,0
Rural,54,Yes,No,No,Food,Agriculture,9872.0,No,No,MMoney,Yes,4000,No,No,False,Yes,1
Urban,40,No,Yes,Yes,Business,Employment,10000.0,No,No,MMoney,No,20000,Yes,No,True,Yes,0
Rural,19,No,Yes,No,Education,Family,4000.0,No,No,MMoney,Yes,20000,No,Yes,True,Yes,1
Rural,32,No,No,No,Education,Agriculture,10000.0,No,No,MMoney,No,4000,No,No,True,No,1
Urban,17,No,No,No,Education,Family,2000.0,No,No,MMoney,No,15000,Yes,No,False,No,1
Rural,35,No,No,No,Health,Casual_work,10000.0,No,No,MMoney,No,10000,No,No,False,No,1
Urban,22,No,No,No,Business,Casual_work,8000.0,No,No,Bank,No,8000,No,No,False,No,1
Rural,30,No,Yes,No,Food,Agriculture,6000.0,No,No,Bank,No,5000,No,No,False,Yes,1
Rural,65,No,Yes,No,Health,Casual_work,500.0,No,No,MMoney,Yes,12000,No,No,False,Yes,1
Urban,30,No,No,No,Food,Casual_work,13000.0,No,No,MMoney,No,17000,No,No,False,Yes,0
Urban,37,No,No,No,Food,Casual_work,15000.0,No,No,MMoney,No,30000,Yes,No,False,No,0
Rural,55,No,No,No,Education,Agriculture,5000.0,No,No,MMoney,No,8000,No,No,False,No,1
Urban,44,No,No,No,Home,Business,9872.0,No,No,MMoney,No,4000,No,No,False,No,1
Urban,36,No,No,No,Education,Business,40000.0,No,No,Bank,No,20000,No,Yes,False,No,0
Urban,71,Yes,No,No,Food,Family,3000.0,No,No,MMoney,Yes,15000,Yes,No,False,Yes,1
Rural,16,No,No,No,Education,Family,5000.0,No,No,MMoney,Yes,9000,Yes,No,True,No,1
Rural,67,Yes,No,No,Health,Agriculture,6000.0,No,No,MMoney,Yes,6000,No,No,False,Yes,1
Urban,31,No,No,No,Food,Business,6000.0,No,No,MMoney,No,20000,Yes,No,False,Yes,0
Rural,58,No,No,No,Business,Agriculture,5000.0,No,No,MMoney,Yes,10000,No,No,False,No,1
Rural,35,Yes,No,No,Food,Casual_work,5000.0,No,No,MMoney,Yes,4000,No,No,False,No,1
Rural,35,No,Yes,No,Food,Casual_work,15000.0,No,No,Bank,No,15000,No,No,False,Yes,0
Urban,29,No,Yes,No,Food,Casual_work,5000.0,No,No,MMoney,No,600,No,No,False,Yes,1
Rural,20,No,No,No,Career,Casual_work,1600.0,No,No,MMoney,Yes,2000,No,No,False,No,1
Rural,32,No,Yes,No,Business,Agriculture,8000.0,No,No,MMoney,Yes,8000,No,No,True,Yes,1
Rural,17,No,No,No,Education,Family,200.0,No,No,MMoney,No,15500,No,No,True,No,1
Urban,21,Yes,No,No,Education,Casual_work,3000.0,No,No,MMoney,Yes,10000,No,No,False,No,1
Urban,57,No,Yes,Yes,Food,Business,40000.0,Yes,No,MMoney,Yes,30000,Yes,Yes,False,Yes,0
Urban,19,No,No,No,Education,Family,1000.0,No,No,MMoney,No,14000,Yes,No,False,No,1
Rural,20,No,No,No,Food,Casual_work,1500.0,No,No,MMoney,Yes,2000,No,No,False,No,1
Urban,30,No,No,No,Food,Casual_work,3000.0,No,No,MMoney,No,15000,No,No,False,No,1
Urban,46,No,Yes,No,Health,Employment,25000.0,No,No,MMoney,No,17000,Yes,Yes,False,Yes,0
Urban,50,No,No,No,Education,Business,5000.0,No,No,MMoney,No,10000,No,No,False,No,1
Rural,29,No,Yes,No,Education,Family,5000.0,No,No,MMoney,No,10000,Yes,No,False,Yes,1
Urban,56,No,Yes,Yes,Food,Business,50000.0,No,No,MMoney,Yes,50000,No,Yes,False,Yes,0
Urban,27,No,No,No,Education,Casual_work,10000.0,No,No,MMoney,No,15000,No,Yes,False,No,0
Rural,40,No,No,No,Food,Casual_work,3000.0,No,No,MMoney,No,4000,No,No,False,No,1
Rural,81,No,No,No,Food,Aid,5000.0,No,No,MMoney,Yes,3000,No,No,False,Yes,1
Urban,26,No,No,No,Food,Family,5000.0,No,No,MMoney,No,30000,No,No,False,No,0
Urban,33,No,No,No,Food,Family,6000.0,No,No,MMoney,No,8000,Yes,No,False,No,1
Urban,28,No,Yes,Yes,Career,Business,15000.0,No,No,MMoney,No,30000,Yes,Yes,False,Yes,0
Rural,77,Yes,No,No,Food,Agriculture,9872.0,No,No,MMoney,Yes,4000,No,No,False,Yes,1
Rural,52,Yes,Yes,No,Health,Casual_work,20000.0,No,No,MMoney,No,15000,No,No,False,Yes,0
Urban,59,No,Yes,No,Health,Employment,25000.0,No,No,MMoney,Yes,15000,Yes,Yes,False,Yes,0
Urban,40,No,No,No,Business,Agriculture,9872.0,No,No,MMoney,No,18000,Yes,Yes,False,No,0
Rural,66,Yes,No,No,Food,Agriculture,1000.0,No,No,MMoney,Yes,2000,No,No,False,No,1
Urban,65,No,No,No,Food,Business,8000.0,No,No,MMoney,No,8000,No,No,False,Yes,1
Rural,58,Yes,No,No,Food,Agriculture,1000.0,No,No,MMoney,Yes,1000,No,No,True,No,1
Urban,21,No,No,No,Career,Family,5000.0,No,No,MMoney,Yes,30000,No,No,False,No,0
Rural,25,No,No,No,Food,Casual_work,3000.0,No,No,MMoney,No,3000,No,No,False,No,1
Urban,51,No,Yes,Yes,Food,Business,9872.0,No,No,MMoney,No,10000,Yes,Yes,False,Yes,1
Rural,16,Yes,No,No,Food,Family,500.0,No,No,MMoney,Yes,5000,No,No,True,No,1
Rural,28,No,No,No,Health,Casual_work,1000.0,No,No,MMoney,Yes,2000,No,No,True,No,1
Urban,28,No,No,No,Food,Casual_work,14000.0,No,No,MMoney,No,14000,No,No,False,Yes,0
Urban,21,No,No,No,Career,Casual_work,3000.0,No,No,MMoney,No,15000,No,No,False,No,1
Urban,31,No,Yes,Yes,Business,Business,10000.0,Yes,No,MMoney,Yes,10000,Yes,Yes,False,Yes,1
Rural,68,No,No,No,Business,Agriculture,9872.0,Yes,No,MMoney,Yes,10000,No,No,False,Yes,1
Rural,46,No,Yes,Yes,Home,Employment,9872.0,Yes,No,MMoney,Yes,30000,Yes,Yes,False,Yes,0
Rural,65,No,No,No,Food,Casual_work,2500.0,No,No,MMoney,Yes,1000,No,No,False,No,1
Rural,52,No,No,No,Food,Agriculture,9872.0,No,No,MMoney,Yes,12000,No,No,False,Yes,1
Urban,46,No,No,No,Health,Casual_work,12000.0,No,No,MMoney,No,8000,No,No,False,No,1
Urban,28,No,Yes,No,Business,Family,9872.0,No,No,MMoney,No,15000,Yes,No,False,Yes,0
Urban,33,No,Yes,No,Career,Employment,15000.0,No,No,MMoney,No,20000,No,Yes,False,Yes,0
Rural,22,No,No,No,Business,Casual_work,3000.0,No,No,MMoney,No,15000,No,No,False,No,1
Urban,36,No,No,No,Education,Casual_work,5000.0,No,No,MMoney,No,7000,No,No,False,No,1
Rural,26,No,No,No,Health,Casual_work,3000.0,No,No,MMoney,Yes,6000,No,No,True,No,1
Urban,32,No,No,No,Business,Business,9872.0,No,No,MMoney,No,12000,No,Yes,False,Yes,1
Rural,73,Yes,Yes,No,Food,Agriculture,5000.0,No,No,MMoney,Yes,5000,No,No,True,Yes,1
Rural,28,No,No,No,Education,Casual_work,1800.0,No,No,MMoney,Yes,6500,No,No,True,No,1
Rural,67,No,Yes,No,Business,Agriculture,15000.0,Yes,No,MMoney,Yes,10000,No,Yes,True,Yes,1
Urban,52,No,No,No,Food,Business,7000.0,No,Yes,MMoney,Yes,20000,Yes,No,False,No,0
Rural,49,No,Yes,Yes,Food,Family,1500.0,Yes,No,MMoney,Yes,4000,Yes,No,False,Yes,1
Rural,37,No,No,No,Education,Casual_work,5200.0,No,No,MMoney,No,6000,No,No,False,Yes,1
Urban,42,No,No,No,Health,Casual_work,10000.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Urban,51,Yes,No,No,Health,Agriculture,9872.0,No,No,MMoney,Yes,2000,No,No,False,No,1
Rural,21,No,No,No,Career,Casual_work,4000.0,No,Yes,MMoney,Yes,7000,No,No,False,Yes,1
Urban,29,No,No,No,Business,Business,10000.0,No,No,MMoney,No,15000,No,No,True,Yes,0
Urban,29,No,Yes,No,Food,Family,9872.0,No,No,MMoney,No,10000,No,No,False,Yes,1
Urban,25,No,No,No,Food,Casual_work,9872.0,No,No,MMoney,No,10000,Yes,No,False,No,1
Rural,25,No,No,No,Food,Casual_work,6000.0,No,No,MMoney,No,5000,No,No,False,No,1
Rural,40,No,No,No,Business,Agriculture,5000.0,No,No,MMoney,Yes,5000,No,No,False,No,1
Urban,42,No,Yes,No,Food,Casual_work,17000.0,No,No,Bank,No,17000,No,No,False,Yes,0
Rural,56,Yes,No,No,Education,Agriculture,2000.0,No,No,MMoney,No,5000,No,No,False,No,1
Urban,52,No,No,No,Food,Casual_work,8000.0,No,No,MMoney,No,8000,No,No,False,No,1
Rural,74,No,No,No,Food,Agriculture,5000.0,No,No,Bank,Yes,5000,No,No,False,No,1
Rural,54,No,No,No,Food,Agriculture,5000.0,No,No,MMoney,Yes,5000,No,No,True,Yes,1
Rural,30,No,No,No,Business,Agriculture,12500.0,No,No,MMoney,Yes,10000,No,No,True,No,1
Urban,35,No,Yes,Yes,Food,Casual_work,20000.0,No,No,MMoney,Yes,15000,Yes,No,True,Yes,0
Rural,37,Yes,No,No,Food,Agriculture,10000.0,No,No,MMoney,Yes,10000,No,Yes,True,Yes,1
Urban,26,No,No,No,Education,Casual_work,10000.0,No,No,MMoney,No,10000,No,No,False,No,1
Rural,55,No,No,No,Education,Casual_work,10000.0,No,No,MMoney,Yes,7000,No,No,False,Yes,1
Urban,36,No,Yes,No,Health,Casual_work,25000.0,No,No,MMoney,No,25000,Yes,Yes,False,Yes,0
Urban,23,No,No,No,Education,Agriculture,15000.0,No,No,MMoney,No,10000,No,No,False,No,0
Rural,78,No,No,No,Food,Agriculture,5000.0,No,No,MMoney,Yes,5000,No,No,False,No,1
Rural,46,No,No,No,Food,Agriculture,200.0,No,No,MMoney,Yes,6000,No,No,False,No,1
Urban,67,Yes,Yes,No,Health,Employment,10000.0,No,No,MMoney,No,15000,No,No,False,Yes,0
Rural,73,No,Yes,No,Food,Agriculture,10000.0,No,No,MMoney,Yes,10000,No,No,True,Yes,1
Rural,28,No,No,No,Food,Casual_work,8000.0,No,No,MMoney,Yes,5000,No,No,True,Yes,1
Rural,18,No,Yes,No,Food,Business,4000.0,No,No,MMoney,No,12000,No,No,False,Yes,1
Urban,38,No,Yes,Yes,Education,Family,10000.0,Yes,Yes,MMoney,Yes,20000,Yes,Yes,False,Yes,0
Rural,38,No,No,No,Food,Casual_work,3000.0,No,No,MMoney,Yes,3000,No,No,True,No,1
Urban,18,No,No,No,Education,Family,1000.0,No,No,MMoney,No,15000,No,Yes,False,No,1
Rural,24,No,No,No,Career,Casual_work,6000.0,No,No,MMoney,No,4000,No,No,False,No,1
Rural,35,No,No,No,Education,Casual_work,4000.0,No,No,MMoney,Yes,10000,No,No,True,No,1
Rural,24,No,No,No,Business,Family,9872.0,No,No,MMoney,No,15000,Yes,No,True,No,1
Rural,51,Yes,No,No,Food,Agriculture,5000.0,No,No,MMoney,Yes,6000,No,Yes,False,Yes,1
Rural,17,Yes,No,No,Education,Family,100.0,No,No,MMoney,No,6000,No,No,True,No,1
Rural,52,No,No,No,Health,Agriculture,20000.0,No,No,MMoney,Yes,20000,No,No,False,Yes,0
Rural,20,No,No,No,Education,Employment,10000.0,No,No,Bank,No,10000,No,No,False,No,1
Rural,22,No,No,No,Education,Agriculture,8000.0,No,No,MMoney,Yes,6000,No,No,True,Yes,1
Rural,25,Yes,Yes,No,Career,Business,20000.0,No,No,MMoney,No,20000,Yes,Yes,False,Yes,0
Rural,26,No,No,No,Education,Casual_work,2000.0,No,No,MMoney,No,3000,No,No,False,Yes,1
